Movie_Title,YR_Released,Rating,show_id,type,Duration
3%,2020,TV-MA,s1,TV Show,4
1920,2008,TV-MA,s10,Movie,143
3 Heroines,2016,TV-PG,s100,Movie,124
Blue Mountain State: The Rise of Thadland,2016,R,s1000,Movie,90
Blue Planet II,2017,TV-G,s1001,TV Show,1
Blue Ruin,2013,R,s1002,Movie,90
Blue Streak,1999,PG-13,s1003,Movie,94
Blue Valentine,2010,R,s1004,Movie,112
BluffMaster!,2005,TV-14,s1005,Movie,129
Blurred Lines: Inside the Art World,2017,TV-MA,s1006,Movie,85
BNA,2020,TV-14,s1007,TV Show,1
BNK48: Girls Don't Cry,2018,TV-14,s1008,Movie,108
Bo Burnham: Make Happy,2016,TV-MA,s1009,Movie,60
3 Idiots,2009,PG-13,s101,Movie,164
Bo Burnham: what.,2013,TV-MA,s1010,Movie,60
Bo on the Go!,2007,TV-Y,s1011,TV Show,1
Bob Lazar: Area 51 & Flying Saucers,2018,TV-MA,s1012,Movie,97
Bob Ross: Beauty Is Everywhere,1991,TV-G,s1013,TV Show,1
Bob's Broken Sleigh,2015,TV-G,s1014,Movie,47
Bobbi Jene,2017,TV-MA,s1015,Movie,99
Bobbleheads The Movie,2020,PG,s1016,Movie,83
Bobby,1973,TV-14,s1017,Movie,168
Bobby Jasoos,2014,TV-14,s1018,Movie,116
Bobby Kennedy for President,2018,TV-MA,s1019,TV Show,1
3 Seconds Divorce,2018,TV-PG,s102,Movie,53
Bobby Robson: More Than a Manager,2018,TV-14,s1020,Movie,99
Bobby Sands: 66 Days,2016,TV-14,s1021,Movie,106
Boca Juniors Confidential,2018,TV-PG,s1022,TV Show,1
Bodyguard,2011,TV-14,s1023,Movie,130
Bogda,2018,TV-PG,s1024,Movie,161
Boi,2018,TV-MA,s1025,Movie,111
BoJack Horseman,2020,TV-MA,s1026,TV Show,6
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014,TV-MA,s1027,Movie,26
Bokeh,2017,TV-14,s1028,Movie,92
Bolívar,2019,TV-MA,s1029,TV Show,1
3 Türken & ein Baby,2015,TV-MA,s103,Movie,93
Bollywood Calling,2001,TV-MA,s1030,Movie,102
Bolt,2008,PG,s1031,Movie,99
Bomb Scared,2017,TV-MA,s1032,Movie,89
Bombairiya,2018,TV-MA,s1033,Movie,108
